Summary Date UTC,Utilized,Reserved
9/18/2025,42699,50000
9/17/2025,43166,50000
9/16/2025,43462,50000
9/15/2025,43184,50000
9/14/2025,36983,50000
9/13/2025,39135,50000
9/12/2025,44186,50000
9/11/2025,43557,50000
9/10/2025,43865,50000
9/9/2025,43281,50000
9/8/2025,41686,50000
9/7/2025,36532,50000
9/6/2025,38761,50000
9/5/2025,41495,50000
9/4/2025,42287,50000
9/3/2025,43944,50000
9/2/2025,43784,50000
9/1/2025,39543,50000
8/31/2025,37089,50000
8/30/2025,39734,50000
8/29/2025,44592,50000
8/28/2025,43936,50000
8/27/2025,43923,50000
8/26/2025,43960,50000
8/25/2025,43319,50000
8/24/2025,37125,50000
8/23/2025,38574,50000
8/22/2025,43965,50000
8/21/2025,43305,50000
8/20/2025,43393,50000
8/19/2025,42615,50000
8/18/2025,42838,50000
8/17/2025,36748,50000
8/16/2025,38834,50000
8/15/2025,43228,50000
8/14/2025,42702,50000
8/13/2025,43036,50000
8/12/2025,42982,50000
8/11/2025,41557,50000
8/10/2025,36981,50000
8/9/2025,39433,50000
8/8/2025,43121,50000
8/7/2025,43369,50000
8/6/2025,44432,50000
8/5/2025,44644,50000
8/4/2025,44724,50000
8/3/2025,39092,50000
8/2/2025,41754,50000
8/1/2025,47681,50000
7/31/2025,47930,50000
7/30/2025,47033,50000
7/29/2025,45726,50000
7/28/2025,46371,50000
7/27/2025,40852,50000
7/26/2025,43094,50000
7/25/2025,48068,50000
7/24/2025,46320,50000
7/23/2025,45795,50000
7/22/2025,45330,50000
7/21/2025,45262,50000
7/20/2025,39768,50000
7/19/2025,41872,50000
7/18/2025,44427,50000
7/17/2025,45918,50000
7/16/2025,45738,50000
7/15/2025,45658,50000
7/14/2025,44534,50000
7/13/2025,39481,50000
7/12/2025,40452,50000
7/11/2025,44944,50000
7/10/2025,44464,50000
7/9/2025,44348,50000
7/8/2025,44630,50000
7/7/2025,44298,50000
7/6/2025,38328,50000
7/5/2025,38844,50000
7/4/2025,40775,50000
7/3/2025,45545,50000
7/2/2025,45003,50000
7/1/2025,46449,50040
6/30/2025,43465,50000
6/29/2025,37101,50000
6/28/2025,39186,50000
6/27/2025,43895,50000
6/26/2025,43404,50000
6/25/2025,43415,50000
6/24/2025,43117,50000
6/23/2025,43131,50000
6/22/2025,36475,50000
6/21/2025,39233,50000
6/20/2025,42912,50000
6/19/2025,41203,50000
6/18/2025,43206,50000
6/17/2025,43131,50000
6/16/2025,41186,50000
6/15/2025,37407,50000
6/14/2025,39274,50000
6/13/2025,44733,50000
6/12/2025,42821,50000
6/11/2025,43530,50000
6/10/2025,43604,50000
6/9/2025,42644,50000
6/8/2025,37507,50000
6/7/2025,37731,50000
6/6/2025,42233,50000
6/5/2025,43670,50000
6/4/2025,43870,50000
6/3/2025,44564,50000
6/2/2025,44468,50000
6/1/2025,39306,50000
5/31/2025,40201,50000
5/30/2025,44879,50000
5/29/2025,44890,50000
5/28/2025,44705,50000
5/27/2025,42523,50000
5/26/2025,39507,50000
5/25/2025,37070,50000
5/24/2025,39442,50000
5/23/2025,43600,50000
5/22/2025,42752,50000
5/21/2025,41901,50000
5/20/2025,42303,50000
5/19/2025,41156,50000
5/18/2025,35688,50000
5/17/2025,37840,50000
5/16/2025,42507,50000
5/15/2025,42017,50000
5/14/2025,42552,50000
5/13/2025,41612,50000
5/12/2025,41147,50000
5/11/2025,35686,50000
5/10/2025,38299,50000
5/9/2025,42567,50000
5/8/2025,42206,50000
5/7/2025,42281,50000
5/6/2025,42206,50000
5/5/2025,40380,50000
5/4/2025,35391,50000
5/3/2025,37928,50000
5/2/2025,41105,50000
5/1/2025,44241,50000
4/30/2025,43062,50000
4/29/2025,41882,50000
4/28/2025,40741,50000
4/27/2025,35085,50000
4/26/2025,37329,50000
4/25/2025,42035,50000
4/24/2025,41976,50000
4/23/2025,41714,50000
4/22/2025,41130,50000
4/21/2025,39634,50000
4/20/2025,34279,50000
4/19/2025,37056,50000
4/18/2025,41469,50000
4/17/2025,41713,50000
4/16/2025,41515,50000
4/15/2025,42070,50000
4/14/2025,40151,50000
4/13/2025,35112,50000
4/12/2025,37680,50000
4/11/2025,41912,50000
4/10/2025,41457,50000
4/9/2025,40787,50000
4/8/2025,41144,50000
4/7/2025,41098,50000
4/6/2025,34858,50000
4/5/2025,38227,50000
4/4/2025,43542,50000
4/3/2025,43649,50000
4/2/2025,42244,50000
4/1/2025,44043,50000
3/31/2025,42802,50000
3/30/2025,36956,50000
3/29/2025,38071,50000
3/28/2025,42749,50000
3/27/2025,42498,50000
3/26/2025,43474,50000
3/25/2025,41199,50000
3/24/2025,39626,50000
3/23/2025,35067,50000
3/22/2025,37140,50000
3/21/2025,40944,50000
3/20/2025,39910,50000
3/19/2025,39402,50000
3/18/2025,39506,50000
3/17/2025,37905,50000
3/16/2025,32959,50000
3/15/2025,35833,50000
3/14/2025,38271,50000
3/13/2025,40042,50000
3/12/2025,40205,50000
3/11/2025,40665,50000
3/10/2025,38072,50000
3/9/2025,34258,50000
3/8/2025,37634,50000
3/7/2025,41773,50000
3/6/2025,41025,50000
3/5/2025,38840,50000
3/4/2025,39610,76620
3/3/2025,38953,76620
3/2/2025,34484,76620
3/1/2025,37293,76620
2/28/2025,40725,76620
2/27/2025,40650,76620
2/26/2025,39874,76620
2/25/2025,38881,76620
2/24/2025,38494,76620
2/23/2025,32910,76620
2/22/2025,35451,76620
2/21/2025,39054,76620
2/20/2025,39408,76620
2/19/2025,39219,76620
2/18/2025,38987,76620
2/17/2025,37245,76620
2/16/2025,33866,76620
2/15/2025,36145,76620
2/14/2025,40124,76620
2/13/2025,38197,76620
2/12/2025,39171,76620
2/11/2025,39316,76620
2/10/2025,38018,76620
2/9/2025,32317,76620
2/8/2025,35155,76620
2/7/2025,39613,76620
2/6/2025,39162,76620
2/5/2025,38673,76620
2/4/2025,39867,76620
2/3/2025,38727,76620
